No,Komentar,Label Awal,Label Pakar,Pasal Dominan,Catatan,Unnamed: 6,clean_comment,Kode Label,Komentar_preprocessed,jumlah_kata,Kategori_Panjang
444.0,"Yang Bahaya Bagi Indonesia Sekarang Adalah  RADIKALISME  Agama.  Bukan Lagi PKI,  PKI Itu Sudah Usang Hancur lebur Dan Tidak Laku Lagi.     Mantap  Panglima",Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Kritik atau opini negatif,,"Tidak terindikasi Pasal 27A maupun Pasal 28 ayat (2). Komentar menyebut unsur identitas dalam pembahasan tentang TNI, tetapi tidak berisi hasutan, ajakan, atau upaya memengaruhi orang lain untuk membenci kelompok tersebut dan tidak terlihat risiko nyata diskriminasi, permusuhan, atau kekerasan. Karena itu, Pasal 28 ayat (2) tidak terindikasi.

",,"yang bahaya bagi indonesia sekarang adalah radikalisme agama. bukan lagi pki, pki itu sudah usang hancur lebur dan tidak laku lagi. mantap panglima",C1,"yang bahaya bagi indonesia sekarang adalah radikalisme agama. bukan lagi pki, pki itu sudah usang hancur lebur dan tidak laku lagi. mantap panglima",23,>20 kata
3435.0,bisa jadi besok si Samsudin jadi menteri perdukunan,Ambigu atau konteks tidak cukup,Ambigu atau konteks tidak cukup,,"komentar ini terlalu singkat atau tidak spesifik untuk memastikan apakah ada unsur penghinaan, ofensif, atau sekadar opini",,bisa jadi besok si samsudin jadi menteri perdukunan,C4,bisa jadi besok si samsudin jadi menteri perdukunan,8,6–10 kata
4136.0,pq,Netral atau tidak terindikasi,Ambigu atau konteks tidak cukup,,"kalimatnya dapat ditafsirkan lebih dari satu cara, sehingga belum cukup dasar untuk menetapkan adanya penghinaan atau kebencian",,pq,C4,pq,1,1–5 kata
7234.0,"Penjahat sebenarnya adalah,polisi2 busukk,😡😡😡",Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Pasal 27A UU No. 1 Tahun 2024,Menyebut polisi sebagai penjahat dan busuk.,,"penjahat sebenarnya adalah,polisi2 busukk,😡😡😡",C3,"penjahat sebenarnya adalah,polisi2 busukk,😡😡😡",4,1–5 kata
3052.0,termul kok masih eksis menyanjung gibran.... mereka dapat energi dari mana. tolong di selidiki aliran dana yg mungkin masuk ke termul,Ambigu atau konteks tidak cukup,Ambigu atau konteks tidak cukup,,"belum terlihat dengan pasti siapa atau apa yang menjadi sasaran komentar, sehingga klasifikasi hukumnya masih belum meyakinkan",,termul kok masih eksis menyanjung gibran.... mereka dapat energi dari mana. tolong di selidiki aliran dana yg mungkin masuk ke termul,C4,termul kok masih eksis menyanjung gibran.... mereka dapat energi dari mana. tolong di selidiki aliran dana yg mungkin masuk ke termul,21,>20 kata
5765.0,"Sudah jelas masyarakat lebih suka memilih dgn Prabowo Gibran....di semua provinsi Prabowo Subianto unggul ko,,,,kan di semua TPS ada saksi2 dan pengawasan dari semua partai...yg jelas.... kalian parah politisi hanya berorasi hanya memanas manaskan suasan kami masyarakat yg tau Krn kami rakyat memilih",Konten ofensif,Kritik atau opini negatif,,Kritik terhadap politisi yang dianggap memanaskan suasana.,,"sudah jelas masyarakat lebih suka memilih dgn prabowo gibran....di semua provinsi prabowo subianto unggul ko,,,,kan di semua tps ada saksi2 dan pengawasan dari semua partai...yg jelas.... kalian parah politisi hanya berorasi hanya memanas manaskan suasan kami masyarakat yg tau krn kami rakyat memilih",C1,"sudah jelas masyarakat lebih suka memilih dgn prabowo gibran....di semua provinsi prabowo subianto unggul ko,,,,kan di semua tps ada saksi2 dan pengawasan dari semua partai...yg jelas.... kalian parah politisi hanya berorasi hanya memanas manaskan suasan kami masyarakat yg tau krn kami rakyat memilih",43,>20 kata
1595.0,Ijazah palsu tak mungkin Mulyono berfikir dg rasional.,Ambigu atau konteks tidak cukup,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,,,,ijazah palsu tak mungkin mulyono berfikir dg rasional.,C3,ijazah palsu tak mungkin mulyono berfikir dg rasional.,8,6–10 kata
1631.0,Pokok nya ind rusak zaman Mulyono jadi pemimpin ....usut tuntas koropsi masa itu dan ijazah palsu ini,Kritik atau opini negatif,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,,,,pokok nya ind rusak zaman mulyono jadi pemimpin ....usut tuntas koropsi masa itu dan ijazah palsu ini,C3,pokok nya ind rusak zaman mulyono jadi pemimpin ....usut tuntas koropsi masa itu dan ijazah palsu ini,17,11–20 kata
2895.0,"Klo dikatakan Roy suryo pembohong/fitnah sj. Cb tonton podcast2 yg narsumnya Roy Suryo. Psti akan anda temukan bhw Roy Suryo ini konsisten dg smw keterangan yg di berikan. Cbb pikir, mna bs bohong se lancar dan se detil itu. Data/Sumber2nya pun valid smw. Bkn cm katanya2 sj",Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Pasal 27A UU No. 1 Tahun 2024,"komentar mengarah pada perendahan atau serangan terhadap orang tertentu, sehingga fokusnya bersifat personal dan relevan dengan Pasal 27A UU No. 1 Tahun 2024",,"klo dikatakan roy suryo pembohong/fitnah sj. cb tonton podcast2 yg narsumnya roy suryo. psti akan anda temukan bhw roy suryo ini konsisten dg smw keterangan yg di berikan. cbb pikir, mna bs bohong se lancar dan se detil itu. data/sumber2nya pun valid smw. bkn cm katanya2 sj",C3,"klo dikatakan roy suryo pembohong/fitnah sj. cb tonton podcast2 yg narsumnya roy suryo. psti akan anda temukan bhw roy suryo ini konsisten dg smw keterangan yg di berikan. cbb pikir, mna bs bohong se lancar dan se detil itu. data/sumber2nya pun valid smw. bkn cm katanya2 sj",47,>20 kata
2329.0,Maling teriak maling yang merubah Pancasila siapa Trisila menjadi ekasila itu siapa disebut apa yang mau merubah Pancasila itu siapa???,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Konten ofensif,,"ungkapan dalam komentar cukup ofensif, tetapi sasaran dan konteksnya tidak memenuhi indikator Pasal 27A atau Pasal 28 Ayat (2)",,maling teriak maling yang merubah pancasila siapa trisila menjadi ekasila itu siapa disebut apa yang mau merubah pancasila itu siapa???,C2,maling teriak maling yang merubah pancasila siapa trisila menjadi ekasila itu siapa disebut apa yang mau merubah pancasila itu siapa???,20,11–20 kata
2121.0," @henrikuspurba9977  pintar gak semerta-merta membuat seseorang jadi baik. pintar jika dipadukan dengan jahat maka dia menjadi licik, jika dipadukan dengan baik maka dia menjadi bijak.
Jadi, sy lebih setuju dengan pendapat yg mengatakan kita gak kekurangan orang baik",Netral atau tidak terindikasi,Netral atau tidak terindikasi,,"komentar berisi kritik atau ketidaksetujuan terhadap suatu kebijakan, tindakan, atau kondisi, tetapi tidak terlihat penghinaan personal yang jelas.",,"@henrikuspurba9977 pintar gak semerta-merta membuat seseorang jadi baik. pintar jika dipadukan dengan jahat maka dia menjadi licik, jika dipadukan dengan baik maka dia menjadi bijak. jadi, sy lebih setuju dengan pendapat yg mengatakan kita gak kekurangan orang baik",C0,"@henrikuspurba9977 pintar gak semerta-merta membuat seseorang jadi baik. pintar jika dipadukan dengan jahat maka dia menjadi licik, jika dipadukan dengan baik maka dia menjadi bijak. jadi, sy lebih setuju dengan pendapat yg mengatakan kita gak kekurangan orang baik",38,>20 kata
598.0,"Mas ini mungkin tinggalnya di dalem hutan, makanya belum pernah liat asap tertiup angin",Ambigu atau konteks tidak cukup,Konten ofensif,,"Tidak terindikasi Pasal 27A maupun Pasal 28 ayat (2). Komentar menggunakan bahasa kasar atau merendahkan terhadap isi komentar. Bahasa ofensif saja tidak cukup untuk Pasal 27A tanpa tuduhan perbuatan tertentu, dan tidak cukup untuk Pasal 28 ayat (2) tanpa hasutan berbasis identitas.
",,"mas ini mungkin tinggalnya di dalem hutan, makanya belum pernah liat asap tertiup angin",C2,"mas ini mungkin tinggalnya di dalem hutan, makanya belum pernah liat asap tertiup angin",14,11–20 kata
4906.0,Bhs jawa bombongan 😭😭,Netral atau tidak terindikasi,Netral atau tidak terindikasi,,pernyataannya belum menunjukkan unsur yang dapat dikategorikan sebagai penghinaan atau kebencian berdasarkan pedoman anotasi,,bhs jawa bombongan 😭😭,C0,bhs jawa bombongan 😭😭,4,1–5 kata
282.0,"Y tu pecat semua dari atas hingga bawa kasih pesangon ,lalu klo ganti jgn 1 2 3 org sj klo ingin bersih ,ntar nmanya di ganti  isi nya tk ganti ,yah setali tiga uang .smpe kini",Netral atau tidak terindikasi,Kritik atau opini negatif,,"Tidak terindikasi Pasal 27A maupun Pasal 28 ayat (2). Komentar berisi kritik atau opini negatif mengenai isi komentar. Tidak ada individu tertentu yang dituduh melakukan perbuatan konkret dan tidak ada hasutan kebencian berbasis identitas, sehingga tidak terindikasi kedua pasal.
",,"y tu pecat semua dari atas hingga bawa kasih pesangon ,lalu klo ganti jgn 1 2 3 org sj klo ingin bersih ,ntar nmanya di ganti isi nya tk ganti ,yah setali tiga uang .smpe kini",C1,"y tu pecat semua dari atas hingga bawa kasih pesangon ,lalu klo ganti jgn 1 2 3 org sj klo ingin bersih ,ntar nmanya di ganti isi nya tk ganti ,yah setali tiga uang .smpe kini",36,>20 kata
2813.0,Kalau tidak dipecat tahun 2029 tidak usah dipilih calon maupun partainya,Konten ofensif,Konten ofensif,,"terdapat ungkapan yang kurang pantas dalam komentar, namun substansinya belum memenuhi unsur hukum yang lebih spesifik",,kalau tidak dipecat tahun 2029 tidak usah dipilih calon maupun partainya,C2,kalau tidak dipecat tahun 2029 tidak usah dipilih calon maupun partainya,11,11–20 kata
2734.0,Tapi klo gerung kalah debat dia senyam senyum yg tk jelas,Netral atau tidak terindikasi,Netral atau tidak terindikasi,,tidak ada bagian yang secara jelas menyerang kehormatan seseorang atau mendorong kebencian terhadap kelompok tertentu,,tapi klo gerung kalah debat dia senyam senyum yg tk jelas,C0,tapi klo gerung kalah debat dia senyam senyum yg tk jelas,11,11–20 kata
3048.0,"​ @user-rw9qj7kl8i TNI tugasnya koq ngurusin gas 3kg. Kalo emang ada tengkulak nakal, pelaku oplos dan lain lain, si bapak bilang, pemerintah punya alat, punya senjata... Masak nangkepin tengkulak nakal aja ga bisa... Nangkep koruptor ga bisa, nangkep  pengoplos  juga ga mampu. 
Yg namanya pemerintah harus ambil keputusan yang terbaik. 
Kalo misalnya gw pengguna gas 3kg, gw juga bakal pilih beli dengan harga 24rb dari pada 19rb tapi harus antri Berjam jam bawa KTP .",Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Pasal 27A UU No. 1 Tahun 2024,"sasaran komentar tampak jelas mengarah ke individu tertentu dan terdapat ungkapan yang merendahkan atau menyerang kehormatannya, sehingga masuk ranah Pasal 27A",,"​ @user-rw9qj7kl8i tni tugasnya koq ngurusin gas 3kg. kalo emang ada tengkulak nakal, pelaku oplos dan lain lain, si bapak bilang, pemerintah punya alat, punya senjata... masak nangkepin tengkulak nakal aja ga bisa... nangkep koruptor ga bisa, nangkep pengoplos juga ga mampu. yg namanya pemerintah harus ambil keputusan yang terbaik. kalo misalnya gw pengguna gas 3kg, gw juga bakal pilih beli dengan harga 24rb dari pada 19rb tapi harus antri berjam jam bawa ktp .",C3,"​ @user-rw9qj7kl8i tni tugasnya koq ngurusin gas 3kg. kalo emang ada tengkulak nakal, pelaku oplos dan lain lain, si bapak bilang, pemerintah punya alat, punya senjata... masak nangkepin tengkulak nakal aja ga bisa... nangkep koruptor ga bisa, nangkep pengoplos juga ga mampu. yg namanya pemerintah harus ambil keputusan yang terbaik. kalo misalnya gw pengguna gas 3kg, gw juga bakal pilih beli dengan harga 24rb dari pada 19rb tapi harus antri berjam jam bawa ktp .",75,>20 kata
6411.0,"Kaya nya ema yg paling pintar dan paling hebat😂
Yang merusak refublik kita siapa ia ema, mau ketawa takut dosa😂",Kritik atau opini negatif,Konten ofensif,,"Mengandung kata merendahkan/sindiran terhadap seseorang, tetapi tidak cukup menunjukkan penghinaan hukum terhadap individu tertentu.",,"kaya nya ema yg paling pintar dan paling hebat😂 yang merusak refublik kita siapa ia ema, mau ketawa takut dosa😂",C2,"kaya nya ema yg paling pintar dan paling hebat😂 yang merusak refublik kita siapa ia ema, mau ketawa takut dosa😂",20,11–20 kata
4064.0,"Waaaww...
Ijazah palsu Jkw & Gibran makin terbongkar.
Upaya dukungan publik dan rakyat  serta usaha gigih RRT & TEAM.

ALTERNATIF.
1) AHY MASUK BURSA CAWAPRES
Enak X AHY ?!!

2) AHY akan diadu dg PUAN yg tdk punya kemamPUAN.
Kemungkinan besar menang AHY

3) ANIES, ahy, puan masuk bursa CAWAPRES. Namun mas ANIES tak berpartai di DPR MPR ?!


4) Jika PRABOWO gentle !! 
Ungkap SIREKAP KPU !
Jebloskan Hasyim Asyari dan para Komisioner ke Penjara.
Audit rekening nya.

5) Jika Prabowo gentle & ksatria, lakukan PROSES PILPRES ULANG dg Komite Independen Internasional & Nasional.
PRABOWO hrs netral !!
Prabowo blh ikut sbg rival.

Sblmnya REFORMASI TOTAL termasuk PT 0%.
Inshaa Allah Prabowo kan dikenang bp Demokrasi Indonesia.

Apkh hal ini akan tercapai ?
Jk tdk tercapai lbh baik NEPALKAN NKRI !!!",Konten ofensif,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Pasal 27A UU No. 1 Tahun 2024,"sasaran komentar tampak jelas mengarah ke individu tertentu dan terdapat ungkapan yang merendahkan atau menyerang kehormatannya, sehingga masuk ranah Pasal 27A",,"waaaww... ijazah palsu jkw & gibran makin terbongkar. upaya dukungan publik dan rakyat serta usaha gigih rrt & team. alternatif. 1) ahy masuk bursa cawapres enak x ahy ?!! 2) ahy akan diadu dg puan yg tdk punya kemampuan. kemungkinan besar menang ahy 3) anies, ahy, puan masuk bursa cawapres. namun mas anies tak berpartai di dpr mpr ?! 4) jika prabowo gentle !! ungkap sirekap kpu ! jebloskan hasyim asyari dan para komisioner ke penjara. audit rekening nya. 5) jika prabowo gentle & ksatria, lakukan proses pilpres ulang dg komite independen internasional & nasional. prabowo hrs netral !! prabowo blh ikut sbg rival. sblmnya reformasi total termasuk pt 0%. inshaa allah prabowo kan dikenang bp demokrasi indonesia. apkh hal ini akan tercapai ? jk tdk tercapai lbh baik nepalkan nkri !!!",C3,"waaaww... ijazah palsu jkw & gibran makin terbongkar. upaya dukungan publik dan rakyat serta usaha gigih rrt & team. alternatif. 1) ahy masuk bursa cawapres enak x ahy ?!! 2) ahy akan diadu dg puan yg tdk punya kemampuan. kemungkinan besar menang ahy 3) anies, ahy, puan masuk bursa cawapres. namun mas anies tak berpartai di dpr mpr ?! 4) jika prabowo gentle !! ungkap sirekap kpu ! jebloskan hasyim asyari dan para komisioner ke penjara. audit rekening nya. 5) jika prabowo gentle & ksatria, lakukan proses pilpres ulang dg komite independen internasional & nasional. prabowo hrs netral !! prabowo blh ikut sbg rival. sblmnya reformasi total termasuk pt 0%. inshaa allah prabowo kan dikenang bp demokrasi indonesia. apkh hal ini akan tercapai ? jk tdk tercapai lbh baik nepalkan nkri !!!",132,>20 kata
7206.0,"Sebenernya orang2X yg tdk suka dgn keberhasilan Pk Jokowi dlm memimpin Indonesia adalah orang2X OGPA (orang yg gila parah & akut),orang2X yg buta mata & hatinya,orang2X kafir berkedok agama,orang2X yg tuli kupingnya,orang2X yg otaknya tdk waras,dsb,dsb,dsb",Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Pasal 28 Ayat (2) UU ITE,"Menghina kelompok yang tidak menyukai Jokowi dengan sebutan gila, kafir, dan tidak waras.",,"sebenernya orang2x yg tdk suka dgn keberhasilan pk jokowi dlm memimpin indonesia adalah orang2x ogpa (orang yg gila parah & akut),orang2x yg buta mata & hatinya,orang2x kafir berkedok agama,orang2x yg tuli kupingnya,orang2x yg otaknya tdk waras,dsb,dsb,dsb",C3,"sebenernya orang2x yg tdk suka dgn keberhasilan pk jokowi dlm memimpin indonesia adalah orang2x ogpa (orang yg gila parah & akut),orang2x yg buta mata & hatinya,orang2x kafir berkedok agama,orang2x yg tuli kupingnya,orang2x yg otaknya tdk waras,dsb,dsb,dsb",36,>20 kata
5232.0,Uda tau program MBG gagal...masih aja ngeyel pak...klau ud GK sanggup mending mundur aja pak...Uda bikin malu masyarakat indonesia aja...,Kritik atau opini negatif,Kritik atau opini negatif,,Kritik terhadap program MBG dan meminta presiden mundur.,,uda tau program mbg gagal...masih aja ngeyel pak...klau ud gk sanggup mending mundur aja pak...uda bikin malu masyarakat indonesia aja...,C1,uda tau program mbg gagal...masih aja ngeyel pak...klau ud gk sanggup mending mundur aja pak...uda bikin malu masyarakat indonesia aja...,20,11–20 kata
1170.0,"Setuju bu Ina. Masalah hukum di Indonesia makin parah, jadi jangan berharap ada keadilan.",Kritik atau opini negatif,Kritik atau opini negatif,,,,"setuju bu ina. masalah hukum di indonesia makin parah, jadi jangan berharap ada keadilan.",C1,"setuju bu ina. masalah hukum di indonesia makin parah, jadi jangan berharap ada keadilan.",14,11–20 kata
7951.0,"Memaafkan PKI,yaa...
Melupakan, tidaaak...
Karena demikianlah smestinya sejarah itu ditulis....
Tp dg cttn  klo  eks komunis dan Ket hrs sgera move on utk NKRI . Bukti:
Mosok nonton film sejarah G30S sj dilarang,etc..",Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Kritik atau opini negatif,,Kritik pada suatu kebijakan tanpa ada pemenuhan unsur dalam dua pasal tsbt,,"memaafkan pki,yaa... melupakan, tidaaak... karena demikianlah smestinya sejarah itu ditulis.... tp dg cttn klo eks komunis dan ket hrs sgera move on utk nkri . bukti: mosok nonton film sejarah g30s sj dilarang,etc..",C1,"memaafkan pki,yaa... melupakan, tidaaak... karena demikianlah smestinya sejarah itu ditulis.... tp dg cttn klo eks komunis dan ket hrs sgera move on utk nkri . bukti: mosok nonton film sejarah g30s sj dilarang,etc..",33,>20 kata
3196.0,1angakata jkwi.....ijasah nya Asli semua....cuma ijasah jkwi ..dugaan sangat sangat berat....palsu....oknum rektor UGM yang terlibat.....wajib bertanggung jawab....terbukti ...penjara.,Netral atau tidak terindikasi,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Pasal 27A UU No. 1 Tahun 2024,"komentar menyerang pribadi atau reputasi individu tertentu; karena objeknya personal, dasar anotasinya mengarah pada Pasal 27A UU No. 1 Tahun 2024",,1angakata jkwi.....ijasah nya asli semua....cuma ijasah jkwi ..dugaan sangat sangat berat....palsu....oknum rektor ugm yang terlibat.....wajib bertanggung jawab....terbukti ...penjara.,C3,1angakata jkwi.....ijasah nya asli semua....cuma ijasah jkwi ..dugaan sangat sangat berat....palsu....oknum rektor ugm yang terlibat.....wajib bertanggung jawab....terbukti ...penjara.,18,11–20 kata
3990.0,"​ @dharmaphalable tunjangan lainya yang jumlahnya jauh lebih besar,sebisa mungkin mereka menutupinya hingga tidak di publikasikan media,,mereka hanya memunculkan yang 50 jta,,biar yang ratusan juta tertutupi.",Ambigu atau konteks tidak cukup,Kritik atau opini negatif,,"komentar bernada menyindir atau kecewa, namun masih berada dalam ruang opini dan kritik sehingga belum memenuhi indikator penghinaan",,"​ @dharmaphalable tunjangan lainya yang jumlahnya jauh lebih besar,sebisa mungkin mereka menutupinya hingga tidak di publikasikan media,,mereka hanya memunculkan yang 50 jta,,biar yang ratusan juta tertutupi.",C1,"​ @dharmaphalable tunjangan lainya yang jumlahnya jauh lebih besar,sebisa mungkin mereka menutupinya hingga tidak di publikasikan media,,mereka hanya memunculkan yang 50 jta,,biar yang ratusan juta tertutupi.",26,>20 kata
2552.0,Tiap 4 tahun sekali juga bakal dipilih lagi Orang jahatnya. Emang lebih banyak orang tololnya aja,Konten ofensif,Konten ofensif,,"komentar menggunakan bahasa yang kurang pantas dan bernada merendahkan, namun konteksnya belum menunjukkan unsur penghinaan yang relevan secara hukum",,tiap 4 tahun sekali juga bakal dipilih lagi orang jahatnya. emang lebih banyak orang tololnya aja,C2,tiap 4 tahun sekali juga bakal dipilih lagi orang jahatnya. emang lebih banyak orang tololnya aja,16,11–20 kata
3795.0,Tdk.Waktu Hj.Hisam mmberantas MAFIA pangan justru si wapres yg nyinyir.jadi brsebrangan.selagi untuk kbaikn Bangsa yach Bagus.,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Netral atau tidak terindikasi,,komentar tidak mengarah pada perendahan individu atau permusuhan terhadap kelompok berdasarkan identitas tertentu,,tdk.waktu hj.hisam mmberantas mafia pangan justru si wapres yg nyinyir.jadi brsebrangan.selagi untuk kbaikn bangsa yach bagus.,C0,tdk.waktu hj.hisam mmberantas mafia pangan justru si wapres yg nyinyir.jadi brsebrangan.selagi untuk kbaikn bangsa yach bagus.,16,11–20 kata
3444.0,Mungkin beliau sudah biasa masak kepala babi jadi langsung reflek jawabnya begitu ditanya😅.,Ambigu atau konteks tidak cukup,Konten ofensif,,"nada penyampaiannya cukup keras dan berpotensi menyinggung, tetapi belum ada dasar yang cukup untuk menyebutnya sebagai penghinaan atau ujaran kebencian",,mungkin beliau sudah biasa masak kepala babi jadi langsung reflek jawabnya begitu ditanya😅.,C2,mungkin beliau sudah biasa masak kepala babi jadi langsung reflek jawabnya begitu ditanya😅.,13,11–20 kata
278.0,"​ @diaziranian2872 Lah, nyatanya siapa sekarang yang jual harga diri ke Amerika??",Netral atau tidak terindikasi,Kritik atau opini negatif,,"Tidak terindikasi Pasal 27A maupun Pasal 28 ayat (2). Komentar menyampaikan penilaian atau kritik terhadap isi komentar, tetapi tidak menuduhkan satu perbuatan konkret yang dapat diuji kebenarannya. Kritik atau opini negatif tidak otomatis menjadi Pasal 27A, dan tidak terdapat unsur Pasal 28 ayat (2).

",,"​ @diaziranian2872 lah, nyatanya siapa sekarang yang jual harga diri ke amerika??",C1,"​ @diaziranian2872 lah, nyatanya siapa sekarang yang jual harga diri ke amerika??",12,11–20 kata
,"Bung Selamat Ginting ini betul-betul ""Rock"" banget! Cadas. Teddy cocoknya Satpam BCA",Ambigu atau konteks tidak cukup,Ambigu atau konteks tidak cukup,,Data tambahan kelas C4 berdasarkan karakteristik komentar ambigu,,"bung selamat ginting ini betul-betul ""rock"" banget! cadas. teddy cocoknya satpam bca",C4,"bung selamat ginting ini betul-betul ""rock"" banget! cadas. teddy cocoknya satpam bca",12,11–20 kata
7767.0,"Bukannya kalau jadi presiden pasti setiap saat harus menghadapi masalah ya? Kalau memang gamau denger masalah terus ya ngapain jadi presiden, kalau memang kondisinya ga memungkinkan utk selalu denger masalah dan harus nentuin solusi, kok bisaaaaa di awal screening kesehatan sewaktu daftar capres lolos.. kok bisaaaaa??",Ambigu atau konteks tidak cukup,Kritik atau opini negatif,,Mengkritik kesiapan presiden menghadapi masalah.,,"bukannya kalau jadi presiden pasti setiap saat harus menghadapi masalah ya? kalau memang gamau denger masalah terus ya ngapain jadi presiden, kalau memang kondisinya ga memungkinkan utk selalu denger masalah dan harus nentuin solusi, kok bisaaaaa di awal screening kesehatan sewaktu daftar capres lolos.. kok bisaaaaa??",C1,"bukannya kalau jadi presiden pasti setiap saat harus menghadapi masalah ya? kalau memang gamau denger masalah terus ya ngapain jadi presiden, kalau memang kondisinya ga memungkinkan utk selalu denger masalah dan harus nentuin solusi, kok bisaaaaa di awal screening kesehatan sewaktu daftar capres lolos.. kok bisaaaaa??",46,>20 kata
3450.0,Tidak boleh korupsi.wowo gendut beri penghargaan ke koruptor.andalaj wowo yg lain di mulut dan lain di hati,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Konten ofensif,,"ada penggunaan kata yang kasar atau tidak sopan, namun serangannya belum jelas mengarah pada kehormatan individu atau identitas kelompok tertentu",,tidak boleh korupsi.wowo gendut beri penghargaan ke koruptor.andalaj wowo yg lain di mulut dan lain di hati,C2,tidak boleh korupsi.wowo gendut beri penghargaan ke koruptor.andalaj wowo yg lain di mulut dan lain di hati,17,11–20 kata
4955.0,setujuuu,Netral atau tidak terindikasi,Ambigu atau konteks tidak cukup,,"komentar ini terlalu singkat atau tidak spesifik untuk memastikan apakah ada unsur penghinaan, ofensif, atau sekadar opini",,setujuuu,C4,setujuuu,1,1–5 kata
1262.0,Selama KPK dipimpin oleh firli bahuri koruptor semakin merajalela karena setiap kasus korupsi ada transaksi tawar menawar,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,,,,selama kpk dipimpin oleh firli bahuri koruptor semakin merajalela karena setiap kasus korupsi ada transaksi tawar menawar,C3,selama kpk dipimpin oleh firli bahuri koruptor semakin merajalela karena setiap kasus korupsi ada transaksi tawar menawar,17,11–20 kata
6112.0,Daya rusaknya besar sekali,Kritik atau opini negatif,Kritik atau opini negatif,,Penilaian negatif tanpa sasaran individu tertentu.,,daya rusaknya besar sekali,C1,daya rusaknya besar sekali,4,1–5 kata
,FUFUFAFA PETRUK cilik 😂😂😂😂😂😂😂,Ambigu atau konteks tidak cukup,Ambigu atau konteks tidak cukup,,Data tambahan kelas C4 berdasarkan karakteristik komentar ambigu,,fufufafa petruk cilik 😂😂😂😂😂😂😂,C4,fufufafa petruk cilik 😂😂😂😂😂😂😂,4,1–5 kata
5292.0,"Partai apakah yg hidupnya disuapi sm oligarki, kemana telunjuk oligarki mengarah kesana ia dan gerombolannya mengonggong. Lihat cuan oligarki air liurnya menetes goyang2 ekor senangnya bukan main",Konten ofensif,Konten ofensif,,Menyebut partai sebagai pelayan oligarki dengan bahasa merendahkan.,,"partai apakah yg hidupnya disuapi sm oligarki, kemana telunjuk oligarki mengarah kesana ia dan gerombolannya mengonggong. lihat cuan oligarki air liurnya menetes goyang2 ekor senangnya bukan main",C2,"partai apakah yg hidupnya disuapi sm oligarki, kemana telunjuk oligarki mengarah kesana ia dan gerombolannya mengonggong. lihat cuan oligarki air liurnya menetes goyang2 ekor senangnya bukan main",27,>20 kata
, @sugianto4967  akal sehat 👌👍,Ambigu atau konteks tidak cukup,Ambigu atau konteks tidak cukup,,Data tambahan kelas C4 berdasarkan karakteristik komentar ambigu,,@sugianto4967 akal sehat 👌👍,C4,@sugianto4967 akal sehat 👌👍,4,1–5 kata
2514.0,"Presiden yang tidak berdaulat, patuh dan taat pada printah si mak Banteng, apalah daya walau beliau presiden tapai beliau cuma anggota partai",Konten ofensif,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Pasal 27A UU No. 1 Tahun 2024,"isi komentar menunjukkan penilaian yang merendahkan terhadap individu tertentu, bukan sekadar membahas kebijakan atau kinerjanya",,"presiden yang tidak berdaulat, patuh dan taat pada printah si mak banteng, apalah daya walau beliau presiden tapai beliau cuma anggota partai",C3,"presiden yang tidak berdaulat, patuh dan taat pada printah si mak banteng, apalah daya walau beliau presiden tapai beliau cuma anggota partai",22,>20 kata
442.0,Kecuali pikiran atheis / komunis,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Konten ofensif,,"Tidak terindikasi Pasal 27A maupun Pasal 28 ayat (2). Komentar menyebut unsur identitas dalam pembahasan tentang PKI atau komunisme, tetapi tidak berisi hasutan, ajakan, atau upaya memengaruhi orang lain untuk membenci kelompok tersebut dan tidak terlihat risiko nyata diskriminasi, permusuhan, atau kekerasan. Karena itu, Pasal 28 ayat (2) tidak terindikasi. Bahasa yang dipakai tetap dapat dinilai ofensif, tetapi belum memenuhi kedua pasal yang diuji.
",,kecuali pikiran atheis / komunis,C2,kecuali pikiran atheis / komunis,5,1–5 kata
1184.0,Gaji gak NAIK. Tapi  TUNJANGAN  NAIK  =  PENIPUAN.....,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,,,,gaji gak naik. tapi tunjangan naik = penipuan.....,C3,gaji gak naik. tapi tunjangan naik = penipuan.....,8,6–10 kata
