No,Komentar,Label Awal,Label Pakar,Pasal Dominan,Catatan,Unnamed: 6,Kode Label,jumlah_kata,jumlah_karakter,clean_comment,Komentar_clean,Komentar_preprocessed
3989.0,"Rumah perubahan berarti tempat bernaung tokoh perubahan, Anies Baswedan",Konten ofensif,Konten ofensif,,"terdapat ungkapan yang kurang pantas dalam komentar, namun substansinya belum memenuhi unsur hukum yang lebih spesifik",,C2,9.0,71.0,"rumah perubahan berarti tempat bernaung tokoh perubahan, anies baswedan","rumah perubahan berarti tempat bernaung tokoh perubahan, anies baswedan","rumah perubahan berarti tempat bernaung tokoh perubahan, anies baswedan"
2470.0,Tdk suka komunis tapi suka Rusia 🤣🤣,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Netral atau tidak terindikasi,,tidak ada bagian yang secara jelas menyerang kehormatan seseorang atau mendorong kebencian terhadap kelompok tertentu,,C0,7.0,35.0,tdk suka komunis tapi suka rusia 🤣🤣,tdk suka komunis tapi suka rusia 🤣🤣,tidak suka komunis tetapi suka rusia 🤣🤣
5231.0,Gita itu kan barisan jokowi.,Netral atau tidak terindikasi,Netral atau tidak terindikasi,,Pernyataan afiliasi politik tanpa unsur penghinaan.,,C0,5.0,28.0,gita itu kan barisan jokowi.,gita itu kan barisan jokowi.,gita itu kan barisan jokowi.
4348.0,​ @seirui6828 kamu tau gak? Pesawat bekas yg dibeli itu mau dikasih gratis sama dubai? Kok gak mau? Malah beli bekas dr mamarika? Itu apa maksudnya?,Ambigu atau konteks tidak cukup,Ambigu atau konteks tidak cukup,,"belum terlihat dengan pasti siapa atau apa yang menjadi sasaran komentar, sehingga klasifikasi hukumnya masih belum meyakinkan",,C4,26.0,148.0,​ @seirui6828 kamu tau gak? pesawat bekas yg dibeli itu mau dikasih gratis sama dubai? kok gak mau? malah beli bekas dr mamarika? itu apa maksudnya?,​ kamu tau gak? pesawat bekas yg dibeli itu mau dikasih gratis sama dubai? kok gak mau? malah beli bekas dr mamarika? itu apa maksudnya?,​ kamu tahu gak? pesawat bekas yang dibeli itu mau dikasih gratis sama dubai? kok tidak mau? malah beli bekas dari mamarika? itu apa maksudnya?
1291.0,"Partai yang bagus,semoga tetap terus seperti ini.",Konten ofensif,Netral atau tidak terindikasi,,,,C0,7.0,49.0,"partai yang bagus,semoga tetap terus seperti ini.","partai yang bagus,semoga tetap terus seperti ini.","partai yang bagus,semoga tetap terus seperti ini."
5858.0,"Selama bapak-bapak ini masih Ada, Indonesia tidak akan kehilangan Akal Sehat...
Salam Perubahan...",Netral atau tidak terindikasi,Netral atau tidak terindikasi,,Dukungan kepada tokoh.,,C0,13.0,98.0,"selama bapak-bapak ini masih ada, indonesia tidak akan kehilangan akal sehat... salam perubahan...","selama bapak-bapak ini masih ada, indonesia tidak akan kehilangan akal sehat. salam perubahan.","selama bapak-bapak ini masih ada, indonesia tidak akan kehilangan akal sehat. salam perubahan."
4455.0,Ga rame bang . 😅😅 Buzzer ga suka mampir disini,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Konten ofensif,,"pilihan katanya terasa kasar atau menyerang, tetapi belum cukup kuat untuk dikategorikan sebagai penghinaan terhadap individu atau kebencian berbasis identitas",,C2,10.0,46.0,ga rame bang . 😅😅 buzzer ga suka mampir disini,ga rame bang . 😅😅 buzzer ga suka mampir disini,tidak ramai bang . 😅😅 buzzer tidak suka mampir disini
6354.0,KETURUAN BANI KADRUN ..HTI ...FPI...GAK BOLEH JADI TNI POLRI  PNS.....BOLEH JADI GLANDANGAN DARI ZAMAN.,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Pasal 28 Ayat (2) UU ITE,Serangan terhadap kelompok berdasarkan afiliasi politik atau identitas tertentu.,,C3,14.0,103.0,keturuan bani kadrun ..hti ...fpi...gak boleh jadi tni polri pns.....boleh jadi glandangan dari zaman.,keturuan bani kadrun ..hti .fpi.gak boleh jadi tni polri pns.boleh jadi glandangan dari zaman.,keturuan bani kadrun ..hti .fpi.gak boleh jadi tni polri pns.boleh jadi glandangan dari zaman.
1091.0,"Yang mau maling maling saja
Yang mau korupsi ,korupsi saja .
Yang gak mau bayar pajak gausah di bayar
Itu hak kita .

Dah lah gak usaah kasih hukum ,",Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Kritik atau opini negatif,,,,C1,30.0,149.0,"yang mau maling maling saja yang mau korupsi ,korupsi saja . yang gak mau bayar pajak gausah di bayar itu hak kita . dah lah gak usaah kasih hukum ,","yang mau maling maling saja yang mau korupsi ,korupsi saja . yang gak mau bayar pajak gausah di bayar itu hak kita . dah lah gak usaah kasih hukum ,","yang mau maling maling saja yang mau korupsi ,korupsi saja . yang tidak mau bayar pajak tidak usah di bayar itu hak kita . sudah lah tidak usaah kasih hukum ,"
2085.0,Negeri ini sudah kecolongan dua kali dalam memilih pemimpin,Netral atau tidak terindikasi,Konten ofensif,,komentar mengandung unsur yang lebih dari sekadar kritik karena terdapat penyebutan atau tuduhan yang diarahkan kepada individu tertentu. karena sasaran pernyataannya mengarah pada individu tertentu.,,C2,9.0,59.0,negeri ini sudah kecolongan dua kali dalam memilih pemimpin,negeri ini sudah kecolongan dua kali dalam memilih pemimpin,negeri ini sudah kecolongan dua kali dalam memilih pemimpin
5987.0,​ @gusaguschanel saya tidak mau menghalangi imajinasi pikiran anda.. 😅,Netral atau tidak terindikasi,Netral atau tidak terindikasi,,Tanggapan santai tanpa unsur negatif.,,C0,10.0,70.0,​ @gusaguschanel saya tidak mau menghalangi imajinasi pikiran anda.. 😅,​ saya tidak mau menghalangi imajinasi pikiran anda.. 😅,​ saya tidak mau menghalangi imajinasi pikiran anda.. 😅
2604.0,Apa mungkin itu setara dg sekolah Paket B atau Paket C jika di indo,Ambigu atau konteks tidak cukup,Ambigu atau konteks tidak cukup,,"belum terlihat dengan pasti siapa atau apa yang menjadi sasaran komentar, sehingga klasifikasi hukumnya masih belum meyakinkan",,C4,14.0,67.0,apa mungkin itu setara dg sekolah paket b atau paket c jika di indo,apa mungkin itu setara dg sekolah paket b atau paket c jika di indo,apa mungkin itu setara dengan sekolah paket b atau paket sih jika di indonesia
2412.0,tetap beda dalam perlakuan hukum di negri konoha rakyat menganiaya hukuman bisa 3 tahun tapi kalau pejabat aparat paling 3 bulan,Netral atau tidak terindikasi,Netral atau tidak terindikasi,,"meskipun ada penilaian atau ekspresi pribadi, tidak ditemukan serangan yang cukup kuat untuk masuk kategori penghinaan atau kebencian",,C0,21.0,128.0,tetap beda dalam perlakuan hukum di negri konoha rakyat menganiaya hukuman bisa 3 tahun tapi kalau pejabat aparat paling 3 bulan,tetap beda dalam perlakuan hukum di negri konoha rakyat menganiaya hukuman bisa 3 tahun tapi kalau pejabat aparat paling 3 bulan,tetap beda dalam perlakuan hukum di negeri konoha rakyat menganiaya hukuman bisa 3 tahun tetapi kalau pejabat aparat paling 3 bulan
689.0,dengar banget sih....tapi ..emang gue pikirin ! (gitu katanya bro),Netral atau tidak terindikasi,Ambigu atau konteks tidak cukup,,"Belum dapat ditentukan—konteks tidak cukup.Komentar mengandung dugaan, sindiran, atau rujukan mengenai isi komentar, tetapi sasaran individu atau peristiwa yang dimaksud tidak cukup jelas dari teks saja. Konteks video, utas percakapan, dan identitas pihak yang dituju diperlukan sebelum menentukan pasal.
",,C4,10.0,66.0,dengar banget sih....tapi ..emang gue pikirin ! (gitu katanya bro),dengar banget sih.tapi ..emang gue pikirin ! (gitu katanya bro),dengar sekali sih.tapi ..emang saya pikirin ! (gitu katanya bro)
2690.0," @deardiaryalisha3635  dan di survey oleh lembaga SURE PAY si denny ja dengan tingkat kepuasan 80% ( CEBONG SEMUA dari 1200 orang yg di survey) , penduduk INDONESIA 270-280 JUTA...!!!!🤪🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣",Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Pasal 27A UU No. 1 Tahun 2024,"isi komentar menunjukkan penilaian yang merendahkan terhadap individu tertentu, bukan sekadar membahas kebijakan atau kinerjanya",,C3,29.0,210.0,"@deardiaryalisha3635 dan di survey oleh lembaga sure pay si denny ja dengan tingkat kepuasan 80% ( cebong semua dari 1200 orang yg di survey) , penduduk indonesia 270-280 juta...!!!!🤪🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣","dan di survey oleh lembaga sure pay si denny ja dengan tingkat kepuasan 80% ( cebong semua dari 1200 orang yg di survey) , penduduk indonesia 270-280 juta.!🤪🤣","dan di survey oleh lembaga sure pay si denny saja dengan tingkat kepuasan 80% ( cebong semua dari 1200 orang yang di survey) , penduduk indonesia 270-280 juta.!🤪🤣"
324.0,"Baru jaman ini seorang presiden bisa di tunggang2 diatur2 oleh ketua Partai hahahaha hadeuhhh🤦🤦 sontoloyo, Negri apa ni",Konten ofensif,Konten ofensif,,"Tidak terindikasi Pasal 27A maupun Pasal 28 ayat (2). Komentar menggunakan bahasa kasar atau merendahkan terhadap partai politik. Bahasa ofensif saja tidak cukup untuk Pasal 27A tanpa tuduhan perbuatan tertentu, dan tidak cukup untuk Pasal 28 ayat (2) tanpa hasutan berbasis identitas.
",,C2,18.0,119.0,"baru jaman ini seorang presiden bisa di tunggang2 diatur2 oleh ketua partai hahahaha hadeuhhh🤦🤦 sontoloyo, negri apa ni","baru jaman ini seorang presiden bisa di tunggang2 diatur2 oleh ketua partai hahahaha hadeuh🤦🤦 sontoloyo, negri apa ni","baru jaman ini seorang presiden bisa di tunggang2 diatur2 oleh ketua partai hahahaha hadeuh🤦🤦 sontoloyo, negeri apa ini"
3755.0,Untuk pak ahok di PDI.   Partai ideologi yg teruji sepanjang sejarah.    Dan bukan di partai karbitan.  Hormat pak Ahok.  Negara menguji mu slalu,Konten ofensif,Konten ofensif,,"komentar ini lebih tepat dimasukkan sebagai konten ofensif karena bahasanya menyerang, tetapi belum terlihat unsur kebencian atau penghinaan yang spesifik",,C2,23.0,145.0,untuk pak ahok di pdi. partai ideologi yg teruji sepanjang sejarah. dan bukan di partai karbitan. hormat pak ahok. negara menguji mu slalu,untuk pak ahok di pdi. partai ideologi yg teruji sepanjang sejarah. dan bukan di partai karbitan. hormat pak ahok. negara menguji mu slalu,untuk pak ahok di pdi. partai ideologi yang teruji sepanjang sejarah. dan bukan di partai karbitan. hormat pak ahok. negara menguji mu selalu
3544.0,"Saya rasa kasihan sama anak""nya oknom pki anak""nya tidak tau apa"" kalau terus""an dilarang masuk tni atau pns dan lain"" takutnya punya rasa dendam kurasa yg lau biarlah berlalu trimh",Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Pasal 27A UU No. 1 Tahun 2024,"sasaran komentar tampak jelas mengarah ke individu tertentu dan terdapat ungkapan yang merendahkan atau menyerang kehormatannya, sehingga masuk ranah Pasal 27A",,C3,30.0,181.0,"saya rasa kasihan sama anak""nya oknom pki anak""nya tidak tau apa"" kalau terus""an dilarang masuk tni atau pns dan lain"" takutnya punya rasa dendam kurasa yg lau biarlah berlalu trimh","saya rasa kasihan sama anak""nya oknom pki anak""nya tidak tau apa"" kalau terus""an dilarang masuk tni atau pns dan lain"" takutnya punya rasa dendam kurasa yg lau biarlah berlalu trimh","saya rasa kasihan sama anak""nya oknom pki anak""nya tidak tahu apa-apa kalau terus-terusan dilarang masuk tni atau pns dan lain"" takutnya punya rasa dendam kurasa yang kau biarlah berlalu trimh"
,Satpam merangkap baby suster,Ambigu atau konteks tidak cukup,Ambigu atau konteks tidak cukup,,Data tambahan kelas C4 berdasarkan karakteristik komentar ambigu,,C4,,,satpam merangkap baby suster,satpam merangkap baby suster,satpam merangkap baby suster
1791.0,Sebaiknya ketika oranglain berbicara jangan dipotong!!!sebab orang berbicara mungkin akan berbicara panjang lebar agar pokok pembicaraannya bisa menggiring ke topik yang dimaksud!!!,Ambigu atau konteks tidak cukup,Netral atau tidak terindikasi,,,,C0,22.0,181.0,sebaiknya ketika oranglain berbicara jangan dipotong!!!sebab orang berbicara mungkin akan berbicara panjang lebar agar pokok pembicaraannya bisa menggiring ke topik yang dimaksud!!!,sebaiknya ketika oranglain berbicara jangan dipotong!sebab orang berbicara mungkin akan berbicara panjang lebar agar pokok pembicaraannya bisa menggiring ke topik yang dimaksud!,sebaiknya ketika oranglain berbicara jangan dipotong!sebab orang berbicara mungkin akan berbicara panjang lebar agar pokok pembicaraannya bisa menggiring ke topik yang dimaksud!
6669.0,"BETAPA KERAS KEPALA NYA WOWO, INI & SOK PINTAR ,!!!",Konten ofensif,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Pasal 27A UU No. 1 Tahun 2024,Menyebut Prabowo keras kepala dan sok pintar.,,C3,10.0,51.0,"betapa keras kepala nya wowo, ini & sok pintar ,!!!","betapa keras kepala nya wowo, ini & sok pintar ,!","betapa keras kepala nya wowo, ini & sok pintar ,!"
2732.0,"Analisa yg cerdas mba Okky semoga, sehat selalu rakyat setuju",Netral atau tidak terindikasi,Netral atau tidak terindikasi,,"meskipun ada penilaian atau ekspresi pribadi, tidak ditemukan serangan yang cukup kuat untuk masuk kategori penghinaan atau kebencian",,C0,10.0,61.0,"analisa yg cerdas mba okky semoga, sehat selalu rakyat setuju","analisa yg cerdas mba okky semoga, sehat selalu rakyat setuju","analisa yang cerdas mbak okky semoga, sehat selalu rakyat setuju"
2160.0," @mycelly4104  Kan memang pki n keturunan nya paling PINTAR MEMBOLAK BALIKAN FAKTA, MENGADU DOMBA n PLAYING VICTIM..",Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Pasal 27A UU No. 1 Tahun 2024,"terdapat ungkapan yang menggeneralisasi dan merendahkan suatu kelompok, sehingga unsur kebencian terhadap kelompok lebih menonjol daripada kritik biasa. karena pernyataannya berpotensi membangun sentimen kebencian terhadap kelompok tertentu.",,C3,17.0,116.0,"@mycelly4104 kan memang pki n keturunan nya paling pintar membolak balikan fakta, mengadu domba n playing victim..","kan memang pki n keturunan nya paling pintar membolak balikan fakta, mengadu domba n playing victim..","kan memang pki dan keturunan nya paling pintar membolak balikan fakta, mengadu domba dan playing victim.."
703.0,Mungkin uangnya dikorup buat ngojek,Ambigu atau konteks tidak cukup,Ambigu atau konteks tidak cukup,,"Belum dapat ditentukan—konteks tidak cukup. Komentar mengandung dugaan, sindiran, atau rujukan mengenai isi komentar, tetapi sasaran individu atau peristiwa yang dimaksud tidak cukup jelas dari teks saja. Konteks video, utas percakapan, dan identitas pihak yang dituju diperlukan sebelum menentukan pasal.
",,C4,5.0,35.0,mungkin uangnya dikorup buat ngojek,mungkin uangnya dikorup buat ngojek,mungkin uangnya dikorup buat ngojek
6344.0,"Sebelum pilpres 2029/ganti presiden, Indonesia tdk akan berubah malah tambah parah...
2030 Indonesia bubar bisa terjadi...",Kritik atau opini negatif,Kritik atau opini negatif,,Prediksi negatif terhadap masa depan negara.,,C1,16.0,122.0,"sebelum pilpres 2029/ganti presiden, indonesia tdk akan berubah malah tambah parah... 2030 indonesia bubar bisa terjadi...","sebelum pilpres 2029/ganti presiden, indonesia tdk akan berubah malah tambah parah. 2030 indonesia bubar bisa terjadi.","sebelum pilpres 2029/ganti presiden, indonesia tidak akan berubah malah tambah parah. 2030 indonesia bubar bisa terjadi."
2970.0,"Betul,setuju dgn anda.Jika Gibran terima tawaran Prabowo,maka seluruh karya,keteladanan,ketokohan Bpk.Jokowi hancur.Semoga Bpk.Jokowi bijak tidak menerima Gibran gabung Prabowo.",Kritik atau opini negatif,Kritik atau opini negatif,,"yang disampaikan lebih tepat dibaca sebagai opini kritis terhadap suatu keadaan atau kebijakan, sehingga belum masuk kategori penghinaan",,C1,18.0,177.0,"betul,setuju dgn anda.jika gibran terima tawaran prabowo,maka seluruh karya,keteladanan,ketokohan bpk.jokowi hancur.semoga bpk.jokowi bijak tidak menerima gibran gabung prabowo.","betul,setuju dgn anda.jika gibran terima tawaran prabowo,maka seluruh karya,keteladanan,ketokohan bpk.jokowi hancur.semoga bpk.jokowi bijak tidak menerima gibran gabung prabowo.","betul,setuju dengan anda.jika gibran terima tawaran prabowo,maka seluruh karya,keteladanan,ketokohan bpk.jokowi hancur.semoga bpk.jokowi bijak tidak menerima gibran gabung prabowo."
2728.0,"Memang sangat-sangat tidak pantas gibran fufufafa duduk sbg wakil presiden dilihat dari sudut ilmu pengetahuan minim, penguasaan masalah tidak mampu, kinerja nya tidak keliatan..",Kritik atau opini negatif,Kritik atau opini negatif,,"nada komentarnya memang cukup keras, tetapi fokus utamanya masih pada ketidaksetujuan dan kritik terhadap pihak atau kebijakan yang dibahas",,C1,24.0,178.0,"memang sangat-sangat tidak pantas gibran fufufafa duduk sbg wakil presiden dilihat dari sudut ilmu pengetahuan minim, penguasaan masalah tidak mampu, kinerja nya tidak keliatan..","memang sangat-sangat tidak pantas gibran fufufafa duduk sbg wakil presiden dilihat dari sudut ilmu pengetahuan minim, penguasaan masalah tidak mampu, kinerja nya tidak keliatan..","memang sangat-sangat tidak pantas gibran fufufafa duduk sebagai wakil presiden dilihat dari sudut ilmu pengetahuan minim, penguasaan masalah tidak mampu, kinerja nya tidak keliatan.."
5454.0,You are name @BuPrapti-it8ce  is kadrun.,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Pasal 27A UU No. 1 Tahun 2024,"Menyebut individu sebagai ""kadrun""",,C3,6.0,40.0,you are name @buprapti-it8ce is kadrun.,you are name -it8ce is kadrun.,you are name -it8ce is kadrun.
766.0,setelah expose ..... didiamkan........yg ikut expose harus juga di BAP ....Ada kemungkinan (diduga) ikut kebagian 🤔,Ambigu atau konteks tidak cukup,Ambigu atau konteks tidak cukup,,"Belum dapat ditentukan—konteks tidak cukup. Komentar mengandung dugaan, sindiran, atau rujukan mengenai isi komentar, tetapi sasaran individu atau peristiwa yang dimaksud tidak cukup jelas dari teks saja. Konteks video, utas percakapan, dan identitas pihak yang dituju diperlukan sebelum menentukan pasal.

",,C4,16.0,115.0,setelah expose ..... didiamkan........yg ikut expose harus juga di bap ....ada kemungkinan (diduga) ikut kebagian 🤔,setelah expose . didiamkan.yg ikut expose harus juga di bap .ada kemungkinan (diduga) ikut kebagian 🤔,setelah expose . didiamkan.yg ikut expose harus juga di bap .ada kemungkinan (diduga) ikut kebagian 🤔
2188.0,​ @Muinanakbaik santai saja,Konten ofensif,Ambigu atau konteks tidak cukup,,komentar ini lebih tepat dipahami sebagai kritik keras atau opini negatif; tidak ditemukan serangan personal yang cukup jelas untuk masuk kategori penghinaan.,,C4,4.0,27.0,​ @muinanakbaik santai saja,​ santai saja,​ santai saja
2716.0,"Setuju, saya jawa (Jogja) tapi saya lebih Respek thd mereka itu... Yusril, Fahri dll. Krn faktanya politikus/pakar² yang ""jawa"" sebagian besar pada tumpul otaknya krn sudah terkontaminasi materi dll. Belum lagi yang kyai ngaku budayawan, romo ngaku budayawan, jurnalis ngaku budayawan, seniman bodoh ngaku budayawan setiap 5 tahun sekali muncul ke permukaan... Dan teriak² seolah negeri ini akan hancur klo Salah satu calon menang dalam pipres, Mereka jawa semua...!!! Tapi memalukan. Hidup 🇮🇩",Kritik atau opini negatif,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Pasal 28 Ayat (2) UU ITE,"pernyataan ini menggeneralisasi dan menyerang kelompok berdasarkan identitas tertentu, sehingga lebih dekat dengan kategori pada Pasal 28 Ayat (2)",,C3,73.0,493.0,"setuju, saya jawa (jogja) tapi saya lebih respek thd mereka itu... yusril, fahri dll. krn faktanya politikus/pakar² yang ""jawa"" sebagian besar pada tumpul otaknya krn sudah terkontaminasi materi dll. belum lagi yang kyai ngaku budayawan, romo ngaku budayawan, jurnalis ngaku budayawan, seniman bodoh ngaku budayawan setiap 5 tahun sekali muncul ke permukaan... dan teriak² seolah negeri ini akan hancur klo salah satu calon menang dalam pipres, mereka jawa semua...!!! tapi memalukan. hidup 🇮🇩","setuju, saya jawa (jogja) tapi saya lebih respek thd mereka itu. yusril, fahri dll. krn faktanya politikus/pakar² yang ""jawa"" sebagian besar pada tumpul otaknya krn sudah terkontaminasi materi dll. belum lagi yang kyai ngaku budayawan, romo ngaku budayawan, jurnalis ngaku budayawan, seniman bodoh ngaku budayawan setiap 5 tahun sekali muncul ke permukaan. dan teriak² seolah negeri ini akan hancur klo salah satu calon menang dalam pipres, mereka jawa semua.! tapi memalukan. hidup 🇮🇩","setuju, saya jawa (jogja) tetapi saya lebih respek terhadap mereka itu. yusril, fahri dll. karena faktanya politikus/pakar² yang ""jawa"" sebagian besar pada tumpul otaknya karena sudah terkontaminasi materi dll. belum lagi yang kyai mengaku budayawan, romo mengaku budayawan, jurnalis mengaku budayawan, seniman bodoh mengaku budayawan setiap 5 tahun sekali muncul ke permukaan. dan teriak² seolah negeri ini akan hancur kalau salah satu calon menang dalam pipres, mereka jawa semua.! tetapi memalukan. hidup 🇮🇩"
263.0,"walau tidak sebut, agama yg manapun pasti meyakini dunia akhirat. ada surga dan neraka.. lha ini... ini sama saja menistakan semua agama.. ajaran agama kok dibilang ramalan...... begini kok dibilang cerdas ya ?, meg meg inii nyata sekali tak berTuhannya ya...  parah.. parah... #pusingkepalabarbie #tepokjidat",Kritik atau opini negatif,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,,"Indikasi awal Pasal 27A UU No. 1 Tahun 2024. Komentar mengarah kepada Megawati dan menuduhnya menyebut ajaran agama sebagai ramalan serta tidak bertuhan. Tuduhan mengenai pernyataan tertentu tersebut dapat menurunkan kehormatan individu, sehingga terindikasi awal Pasal 27A.
",,C3,45.0,309.0,"walau tidak sebut, agama yg manapun pasti meyakini dunia akhirat. ada surga dan neraka.. lha ini... ini sama saja menistakan semua agama.. ajaran agama kok dibilang ramalan...... begini kok dibilang cerdas ya ?, meg meg inii nyata sekali tak bertuhannya ya... parah.. parah... #pusingkepalabarbie #tepokjidat","walau tidak sebut, agama yg manapun pasti meyakini dunia akhirat. ada surga dan neraka.. lha ini. ini sama saja menistakan semua agama.. ajaran agama kok dibilang ramalan. begini kok dibilang cerdas ya ?, meg meg inii nyata sekali tak bertuhannya ya. parah.. parah. #pusingkepalabarbie #tepokjidat","walau tidak sebut, agama yang manapun pasti meyakini dunia akhirat. ada surga dan neraka.. lah ini. ini sama saja menistakan semua agama.. ajaran agama kok dibilang ramalan. begini kok dibilang cerdas ya ?, meg meg ini nyata sekali tak bertuhannya ya. parah.. parah. #pusingkepalabarbie #tepokjidat"
2927.0,"Pasti lah rakyat pasti memilih partai yg benar benar komitment untuk anti korupsi dan tidak membela koruptor.
Rakyat sudah semakin cerdas hanya segelintir saja yg ada kepentingan.
Rakyat sudah kecewa dengan partai politik yg di dalam nya ada kader yg korupsi dan di bela mati matian.
Rakyat tau kok.",Indikasi penghinaan atau kebencian terhadap individu atau kelompok,Konten ofensif,,"pilihan katanya terasa kasar atau menyerang, tetapi belum cukup kuat untuk dikategorikan sebagai penghinaan terhadap individu atau kebencian berbasis identitas",,C2,49.0,299.0,pasti lah rakyat pasti memilih partai yg benar benar komitment untuk anti korupsi dan tidak membela koruptor. rakyat sudah semakin cerdas hanya segelintir saja yg ada kepentingan. rakyat sudah kecewa dengan partai politik yg di dalam nya ada kader yg korupsi dan di bela mati matian. rakyat tau kok.,pasti lah rakyat pasti memilih partai yg benar benar komitment untuk anti korupsi dan tidak membela koruptor. rakyat sudah semakin cerdas hanya segelintir saja yg ada kepentingan. rakyat sudah kecewa dengan partai politik yg di dalam nya ada kader yg korupsi dan di bela mati matian. rakyat tau kok.,pasti lah rakyat pasti memilih partai yang benar benar komitment untuk anti korupsi dan tidak membela koruptor. rakyat sudah semakin cerdas hanya segelintir saja yang ada kepentingan. rakyat sudah kecewa dengan partai politik yang di dalam nya ada kader yang korupsi dan di bela mati matian. rakyat tahu kok.
661.0,"Demi kepentingan pribadi, prabowo berstandar ganda dengan merusak aturan bahkan melanggar UU TNI.

INDONESIA SUDAH GELAP
INDONESIA MENUJU KEHANCURAN  😱

#rakyatsudahmuak",Kritik atau opini negatif,Indikasi penghinaan atau kebencian terhadap individu atau kelompok,,"Indikasi awal Pasal 27A UU No. 1 Tahun 2024. Prabowo disebut secara langsung dan dituduh merusak aturan serta melanggar UU TNI demi kepentingan pribadi. Tuduhan pelanggaran hukum kepada individu tertentu merupakan indikasi awal Pasal 27A.
",,C3,21.0,169.0,"demi kepentingan pribadi, prabowo berstandar ganda dengan merusak aturan bahkan melanggar uu tni. indonesia sudah gelap indonesia menuju kehancuran 😱 #rakyatsudahmuak","demi kepentingan pribadi, prabowo berstandar ganda dengan merusak aturan bahkan melanggar uu tni. indonesia sudah gelap indonesia menuju kehancuran 😱 #rakyatsudahmuak","demi kepentingan pribadi, prabowo berstandar ganda dengan merusak aturan bahkan melanggar uu tni. indonesia sudah gelap indonesia menuju kehancuran 😱 #rakyatsudahmuak"
4474.0,Tumben kompas wkwkwkw,Netral atau tidak terindikasi,Ambigu atau konteks tidak cukup,,"sasaran dan maksud pernyataan tidak cukup jelas, sehingga penilaiannya masih perlu melihat konteks sebelum dan sesudah komentar",,C4,3.0,21.0,tumben kompas wkwkwkw,tumben kompas wkwkwkw,tidak biasa kompas wkwkwkw
7226.0,Sehat Selalu Sahabat. Lebih Santai jika Hadir kan Narasumber dengan pola Piramida terbalik: masyarakat awam. Jadi ngobrol Politik lebih autentik,Konten ofensif,Netral atau tidak terindikasi,,Saran mengenai format narasumber.,,C0,20.0,144.0,sehat selalu sahabat. lebih santai jika hadir kan narasumber dengan pola piramida terbalik: masyarakat awam. jadi ngobrol politik lebih autentik,sehat selalu sahabat. lebih santai jika hadir kan narasumber dengan pola piramida terbalik: masyarakat awam. jadi ngobrol politik lebih autentik,sehat selalu sahabat. lebih santai jika hadir kan narasumber dengan pola piramida terbalik: masyarakat awam. jadi berbicara politik lebih autentik
3569.0,Megalodon gak punya otak. Siapa yang gak marah kalau Pemimpin negara dikatain kayak gitu di depan banyak orang lagi.😢😢,Konten ofensif,Konten ofensif,,"ungkapan dalam komentar cukup ofensif, tetapi sasaran dan konteksnya tidak memenuhi indikator Pasal 27A atau Pasal 28 Ayat (2)",,C2,19.0,118.0,megalodon gak punya otak. siapa yang gak marah kalau pemimpin negara dikatain kayak gitu di depan banyak orang lagi.😢😢,megalodon gak punya otak. siapa yang gak marah kalau pemimpin negara dikatain kayak gitu di depan banyak orang lagi.😢😢,megalodon tidak punya otak. siapa yang tidak marah kalau pemimpin negara dikatai mirip begitu di depan banyak orang lagi.😢😢
1581.0,"Negara ini bergerak manipulatif ..
Mau data,main drama ..
Apapun bekerja secara manipulatif ..
Kalau negara ini bekerja dengan keadilan,tidak mungkin negara maupun orang-orang yang coba berpolitik itu bermasalah.",Ambigu atau konteks tidak cukup,Netral atau tidak terindikasi,,,,C0,29.0,212.0,"negara ini bergerak manipulatif .. mau data,main drama .. apapun bekerja secara manipulatif .. kalau negara ini bekerja dengan keadilan,tidak mungkin negara maupun orang-orang yang coba berpolitik itu bermasalah.","negara ini bergerak manipulatif .. mau data,main drama .. apapun bekerja secara manipulatif .. kalau negara ini bekerja dengan keadilan,tidak mungkin negara maupun orang-orang yang coba berpolitik itu bermasalah.","negara ini bergerak manipulatif .. mau data,main drama .. apapun bekerja secara manipulatif .. kalau negara ini bekerja dengan keadilan,tidak mungkin negara maupun orang-orang yang coba berpolitik itu bermasalah."
