Komentar_preprocessed,Kode Label,label
tidak bisa lah kocak judul nya ada pdp (podcast dengan pak menteri) sedangkan mas gibran bukan menteri.,C0,0
"mencari2 kesalahan orang baik, agar bisa disingkirkan tujuannya agar indonesia ini tidak maju dan bodoh sehingga mafia gampang mengobok - obok negara ini.",C2,2
rezim edan 😅,C3,3
"sehat terus bang, semoga mas ibam cepat dibebaskan juga. doa terbaik selalu menyertai orang-orang yang memang berada dijalur kebaikan. ijing share bang 🙏",C0,0
dalam pilpres kemarin prabowo tanpa di bantu jokowi mustahil prabowo bisa jadi presiden,C1,1
kaya introvert begitu yah.,C4,4
"urusan pilihan kembalikan ke suara rakyat, rakyat srek dengan yang mana. sosok nomor 1, partai nomor kesekian",C0,0
"yups,cuma pki yang bilang kadrun..dulu juga pki yang bilang bgitu.",C2,2
wereng coklat,C4,4
kepala negara keras kepala.gak mau pendapat orang lain .angel angel wes aturane. .😊,C2,2
"walau saya cebong, tetapi saya tidak tega nontonnya.😌 !!",C0,0
"memaafkan pki,yaa. melupakan, tidak. karena demikianlah smestinya sejarah itu ditulis. tetapi dengan cttn kalau eks komunis dan keterangan harus sgera move on untuk nkri . bukti: masa menonton film sejarah g30s saja dilarang,etc..",C1,1
semua partai juga tidak ada yang bener. coba saja perhatiin. mending tidak usah milih.,C2,2
tanpa dpr negara ini tetap lah nkri,C1,1
ini cara bicara santai sekali bapak anis baswedan,C0,0
hebat ya..kamu hanya dijarah rumahmu sudah merasa sedih.liat pakai matamu sahroni.uang rakyat kalian curi bertahun tahun..nyawa rakyat kalian hilangkan setragus itu.masih kamu bilang rakyat yang maling?,C3,3
tetapi banyak juga anak muda yang ilpil karena ruang politik dijadikan ajang pertengkaran dan dijadikan sarang maling,C2,2
yang turut mendo'akan dan mendukung orang² yang mencari kebenaran dan menyelamatkan bangsa dan negara . kumpul disini . allahu akbar. bismillah.. allah bersama orang² yang benar . aamiin❤,C0,0
mungkin itu hanya perasaan netizen saja 😂,C4,4
program mubazir. kasihan toko kelontong .gk menyelesaikan .tambah masalah..kacau kacau .bikin proyek ..buat alasan .semua ujung nya duwit,C1,1
buzzer ye,C4,4
waspadalah pada partai komunis sejahtera.. membawa entitas agama ke politik lebih berbahaya daripada komunis.,C1,1
anis tidak punya etik menyerang orang yang pernah membatu anis untuk menjadi guber mulai dari uang partai dan jasa tenga dan pikiran kok anis menyerang pak prabowo,C2,2
"benar sekali nih, jangan terbawa berita2 angin provokasi yaa. menurut saya juga gamungkin sih keluarga jkw berpaling. toh tidak ada sinyal yang gimana2 juga dari jkw ke capres lain. sabar aja, ojo kesusu 😅",C4,4
setiap kpk mengusut perkara korupsi besar selalu saja dicari kesalahannya dan dihujat apalagi jika menyangkut kader partai maka partai beserta jajarannya dan parai kroni2 koruptor berusaha menyerang dan menjatuhkan kpk. begitulah sejak kpk didirikan dan ssmpai saat sekarang payah,C2,2
partai 0 koma huahha 🤣🤣,C2,2
anda provokator jelas tidak tahu permasalhan asal bicara saja,C2,2
"iya abang pasti kecewa ya memilih anies di 2024, sudah tidak menang, nyalon gubernur ngemis partai tidak ada yang deal.. kasihan",C2,2
sekarang apa kabar?😅 kayaknya 11 dari 100 itu kegedean deh ya tidak si😂😅,C4,4
"hancurlah kita, negara yang telah di rebut dengan darah ternyata dengan mudah di jual oleh pemimpin yang bodoh",C3,3
bravo cie ina!,C0,0
ijazah sama saja tak bisa ditunjukan apalagi ijazah s1,C4,4
dulu pendukung pdip sekarang jatuh hati dengan psi.,C1,1
"menggosipkan teddy, tolong tempo dicari berita yang lebih berbobot. kalau dekat sama bos wajarlah kalau dapat promosi.",C0,0
efek ternak koruptor dan pengkhianat bangsa terlalu lama .,C2,2
"sosok h isam tak bisa lepas dari sosok jokowi, ini yang mungkin erat kaitannya dengan partai super tbk",C0,0
justru karena nadiem bukan orangnya jokowi makanya di kriminalisasi seperti itu..anda lihat lagi mana nasib orang-orang yang kontra dengan jokowi seperti tom lembong.hasto kristiyanto nadiem makarim,C3,3
​​ -w2w jokowi mendalilkan bambang tri menyebarkan kebohongan soal ijasah palsu. harus nya jokowi dapat menunjukan ijazah nya . jika benar asli baru wajib di penjara. nah ini aneh sekali. tidak dapat menunjukan tapi sudah bisa memenjarakan orang. di mana mata hati mu ? objektif dong,C3,3
"wkwk, dasar pak jokowi penghianat, dari jadi walikota, gubernur hingga jadi presiden pdip berjuang demi pak jokowi, cacian apapun pdip menjadi tameng, citra pak jokowi terbentuk karena pdip, tetapi akhirnya pak jokowi menjadi pengkhianat tidak tahu diri, sampai akhirnya kekuasaan dimanfaatkan untuk merusak konstitusi supaya anaknya bisa nyalon yang sebelumnya terhalang oleh umur",C3,3
kalau ugm yang mengeluarkan dimana palsunya? 😀 aneh cara berpikir orang yang sakit hati.,C1,1
"bisa tidur tenang punya panglima sehebat beliau. sangat objektif dan faktual. lagipula apa hubungannya keturunan pki, yang hanya memiliki background yang disangkutpautkan tanpa mereka bisa kendalikan, dengan mencoba untuk melayani negara. jika mereka ""keturunan pki"", itu adalah masa lampau dari orang tua mereka yang tidak bisa mereka kendalikan atau hapus, bukan berarti mereka tidak bisa berubah. apa gunanya pkn dan sekolah. dan sudah pasti yang daftar tni minimal lulusan sma.",C0,0
saya suka sama om fahri .dari pada garung😅,C4,4
"pemimpin psi saat ini kulturnya sudah terbentuk oleh partai, kerja dan tugasnya mengghibah di publik, sayang sekali grac",C1,1
"tetapi beroperasi persis warung. gagal bisa jadi beban desa. tidak gagal bisa perang dengan umkm (warung"" masyarakat). dua-duanya tidak baik.",C1,1
​ jokowi bukan negarawan tetapi orang gila kekuasaan untuk dinastinya makanya dengan cara culas pun dia tempuh tidak mikir dampaknya,C2,2
😁😁👍🙏,C4,4
sebaiknya ketika oranglain berbicara jangan dipotong!sebab orang berbicara mungkin akan berbicara panjang lebar agar pokok pembicaraannya bisa menggiring ke topik yang dimaksud!,C0,0
"betul betul mafia hukum.yg sesungguhnya adalah orang kejaksaan ,",C2,2
"harta dunia jokodog penipu tidak bisa menolong nya di akhirat saat diminta pertanggung jawaban atas penipuan jokodog kepada nkri dari mulai mobil esemka, ijazah bodong nya sampai janji si fufufafa gibran dari 19 juta lapangan pekerjaan yang fiktif! allah swt maha adil pada rakyat indonesia yang dibohongi keluarga jokodog penipu. amin amin yarobbal alamiin 🤲🤲",C3,3
kita rakyat.pada.tahu.arah otak.budiman.ini.akan melanjutkan.kerusakan.ketata.negaraan.kita.,C1,1
hancur .,C1,1
bukan jamannya lagi pakai politik identitas dan saya yakin rakyat jakarta sudah pada pintar semua untuk memilih pemimpin yang punya integritas dan peduli terhadap rakyat kecil.,C1,1
13:02 itu pengadaan tanaman hias sama perawatan aquarium di lantai 7 komdigi tidak niat di inspeksi?,C0,0
lebih terlihat sehat dari pada sebelumnya.. zaman surabaya adalah yang terbaik setelah reformasi,C0,0
"iya ya. kardus. kardus. kata andi arif, ketua bapilu partai demokrat, prabowo hanyalah seorang bekas jenderal kardus. 🤣🤣",C3,3
"partai pembohong, pemfitnah : giring , grace. formula e , debat cawapres.",C2,2
tidak ada bedanya dengan heaters. pintar dengan kata kata. jikalau dikasih sebuah jabatan.. pasti salah guna . bagaimana mau tahu orang punya prestasi. kalau tanpa duduk terlebih dahulu di bidang nya.. 🤭🥱🤣🥱 turu dek,C2,2
balik lagi ke mpr dan dpr berani tidak mengeluarkan undang undang dengan pasal bisa menjerat tukang kriminalisasi . kanan jabatan itu titipan suatu saat mereka akan menjadi mantan setelah 5 sampai 10th. bisa jadi hari ini terjadi di orang lain masa depan bisa menjerat pejabat yang punya kuasa sekarang tetapi memilih diam dan tidak mau membuat undang undang yang bener.,C1,1
penjahat terorganisir di negeri ini siapa ya?,C4,4
"jokowi sangat-sangat dicintai sebagian besar rakyat indonesia yang selalu menginginkan pemimpin yang jujur dan bersih seperti jokowi. yang tidak suka jokowi, pasti, dan pasti, adalah para koruptor manusia2 sampah masyarakat pencuri2 uang rakyat. we always cinta you pak de ku joko widodo.❤",C3,3
ini gagal paham juga ni..,C4,4
walikota drs..presiden lr.loncatnya keliatan..😂😂,C4,4
​hidup browo,C0,0
kaset nya rusak wkwkwkwwkw,C2,2
"jika jika tidak ada maksud dibelakang layarnya..seharusnya yang diucapkan itu agar roi suryo dipenjarakan beserta rekam dan bohirnya,bukan malah menyudutkan jokowi. masa sebagai negarawan tidak tahu bahwa memperlihatkan ijazahnya didepan umum itu adalah suatu penghinaan..dan tidak sesuai dengan etika untuk seorang mantan presidenn..!!? h.",C4,4
"pki itu fpi,hti",C3,3
"iya tidak waras2, dan kebanyakan yang non muslim dan cina. kalau prabowo orang muslim2",C3,3
memang bajingan tuh jokowi.banyak usaha yang bangkrut saar jaman jokowi,C3,3
"setuju mas bro, saatnya anak-anak muda dan nasionalis berjiwa muda duduk di legislatif dpr mari kita dukung dan satukan suara untuk psi agar bisa masuk ke dpr tahun 2024 nanti. demi terwujudnya pemberantasan korupsi, pengesahan uu perampasan aset para koruptor, indonesia maju dan sejahtera salam solidaritas",C3,3
opn,C0,0
kayaknya selama masih ada geng solo di negeri ini,C4,4
​ hanya orang idiot yang tidak bisa menilai pencapaian anis,C3,3
logikanya kok sekolah di luar angkasa bahasanya belepotan apa iya ssekolah di luar angkasa masih pakai bahasa jawa😂😮,C2,2
"alasan saja, supaya tentara2 bisa korupsi!",C3,3
"tidak lulus sama tidak apa-apa yang penting bisa jadi wapres, rakyat cukup tahu saja",C4,4
"saya cuma bingung, yang dimaksus analisa atau asumsi kebencian itu seperti apa mksdnya, karena dari yang saya tangkap, ipda verren cuma menyampaikan hasil dari analisa wawancaranya yang ditambah dengan contoh untuk menjelaskan analisa yang didapat, dan memakai sense bagi gw. selain itu kalau dulu memang gagal masuk tni lalu sekarang dipecat dengan data2 yang disampaikan ipda verren ya wajar dong. kecuali orang tuanya punya hasil analisis dari beberapa psikolog di rumah sakit berbeda untuk mematahkan tudingan npd atau psikopat itu tadi",C1,1
"​ lalu kenapa ngemis meminta dukungan partai , kenapa tidak lewat independen katanya anis banyak dukungan dari rakyat , kenapa bos , kok diam",C2,2
"betul, di desa saya jalan jelek semua setelah ada kmp ini",C1,1
"orang jahat selalu di benci, contoh nya maling kalau ketangkap di gebukin",C3,3
bukan duduk2 saja mbak tidur gajinya sangat fantastis,C1,1
kata-kata terus wkwk kok bisa ya hasilnya fakta buruk,C1,1
betul sudah di memberikan azab juga (sakit kuraf)msh juga belum sadar sadar.tp.menurut yang ramal bakal kena penyakit yang lebih parah lagi .klu tidak sadar juga tinggal tunggu waktunya saja tabur tuai ada karma ada ya hati hati ya pa jokowi,C3,3
luar biasa apanya ..!?? 2 orang ini dendam sakit hati sama pimpinan kpk sekarang ..!! 2 mantan kpk ini kan yang menggelapkan barang-barang bukti sitaan di kpk ..!! mantan kpk .. mengerdilkan kpk malah mendukung maling .!!,C4,4
"kamu putar ulang videonya, ada tidak pernyataan pak anies yang menyalahkan angin, tetapi justru yang gagal paham bicara menyalahkan angin kocak asli parah2",C1,1
"tni dan polisi tidak boleh ada di ranah sipil..kalau perlu tni dan polri dbawah naungan kementrian,,merekalah yang paling merusak sisten dinegeri ini",C1,1
"saya kalau mendengar kejaksaan sampai mual bahkan enggan ngikuti beritanya sejak kasus bu ira dengan pak tom, terakhir sitepu karena memang ramai bgt. sekarang muncul lagi dengan parahnya koruptor jadi saksi kebodohan dipertontonkan berulang kali saking seringnya sampai malas buka sosmed karena pasti ada berita bodoh kaya begini lg.",C3,3
jawa tengah dukung kdm❤,C4,4
"kalau orang itu tidak punya salah,ya tidak mungkin dihukum lah!.coba lihat orang-orang tidak pernah dihukum!,knp?,krn mereka tidak buat salah! untuk menghukum orang tidak mudah harus dibuktikan dengan macam-macam alat bukti,ket ahli2,tdk ngawur.tdk alasan disingkirkan karena ini itu seperti kata mbak diatas,ini neg hukum.",C1,1
tempo 👍,C0,0
pilihanq tuan guru bajang dengan surya paloh.,C4,4
si rocky berkata maka harus mendengarkan doa padahal hanya allah yang dapat mendengar dan mengabulkan dari isi otak si rocky memaksakan kehendak harus mengabulkan permohonan 01 03 itu artinya tidak siap kalah maunya menang saja ini sifat berbahaya seandainya dikabulkan malah hukum dan lembaga negara akan kacau balau rakyat akan ribut itulah di isi otak si goreng,C2,2
tertawa .keputer lagi. mas anis ..mas anis😢😢,C0,0
kamu banyak cakap sebenarnya tidak ada hubungannya dengan ijazah jokowi asli atau palsu ini hanya ingin menghancurkan citra pak jokowi di mata publik mangkanya kalau punya mata di pakai melihat dan kalian harus tahu apa saja prestasi pak jokowi selama jadi presiden untuk indonesia,C2,2
konteks?,C4,4
"sejak pdip maksa mentri nya harus 8 atau lebih, sedangkan jokowi ingin lebih banyak yang profesional di mentrinya, awalnya gibran dan kaesang tidak ingin masuk politik, dan jokowi juga bilang gibran belum cocok masuk politik, tetapi pada akhirnya karena pdip semakin liar, jkw terpaksa majukan gibran bahkan bukan ke pdip tetapi ke sahabatnya prabowo",C2,2
miris,C4,4
"harusnya menteri terpilih menjalankan tugas dengan baik, dari 250jt penduduk indonesia menteri hanya satu padahal ada ribuan atau jutaan yang mungkin lebih baik dari dia untuk jadi menteri",C1,1
"10 :40 lah ngapaen di anies membicarakan tanah pribadi nya org,, itu hak nya semua orang loh dan itu juga tanah dari hasil jerih payah sendiri masa iya capek² beli tanah di kasih ke org.. kalau soal buat perumahan tni itu uang dari pemerintah buka dari tanah pribadi sendiri,,",C3,3
"wkwkwk kurang wawasan, mungkin dulu pak jokowi membolehkan ex korupsi nyaleg, karena memang ada hukumnya menurut undang"" atas dasar ham. tapi yang dipermsalahkan adalah ketua umum yang menyetujui ex korupsi ikut nyaleg. seperti tidak ada orang lain lagi dipartainya yang bagus tidak korupsi",C2,2
"di debat terakhir paslon 02 mulai setuju dengan perubahan yang dibawa oleh 01, dari awal paslon 03 sepakat oleh 01, jadi semua kontestan debat memihak ke 01. kesimpulannya para paslon setuju dengan gagasan 01. masak pendukungnya enggak setuju sih, sedangkan para calonnya saja mulai setuju semua",C1,1
anda waktu itu pk prabowo tidak ditipu pakai ijazah palsu.sepertinya prabowolah pemenang pemuilu waktu itu.kpu harus bertanggung jawab.klo terbukti palsu.karena secara kualitas pk prabowolah yang pantas presiden.,C4,4
ini asli preaiden,C0,0
"presiden yang tidak berdaulat, patuh dan taat pada printah si mak banteng, apalah daya walau beliau presiden tapai beliau cuma anggota partai",C3,3
nisnis tahu apahh kamu nis🤣🤪,C0,0
iya belum tentu anaknya maling sapa tahu jadi rampog 🤣,C2,2
ingat! jejak digital sangat kejam ya? hari ini kalian berbohong. tetapi di masa yang akan datang kebohongan itu akan terbukti dan jejak digital inilah yang nantinya akan berdampak buruk untuk kalian. tidak ada kebohongan yang sempurnah,C1,1
itu juga pasha ungu itu kenapa bisa jadi ya pedahal dari kalang anak band aduh hacur negara ini 🤦‍♀️ mana rakyat sudah susah tambah di bikin susah 😢,C1,1
"kalau rakyat masih menginginkan beliau tetap sebagai presiden gimana? uu itukan buatan manusia yang bisa diubah, bukan buatan tuhan. secara logika tidak mungkin rakyat maui memilih lagi kalau p. jokowi tidak punya prestasi apa - apa",C2,2
saya juga tidak suka ribut tapi kalau sudah kafir2 orang dan brkta kasar suka nyinggung orang saya juga tidak bisa tinggal diem..mengkritik tnoa dasar..itu perlu diksih peljrn ..kita bukan orang hebat tapi kita harus saling mnghargai..bukn kfir2n orang dan mengatai bangsat terus mengatai sift2 orang yang belum tentu yang mengatai punya kontribusi yang positip.,C2,2
partai sentimen 🤭,C1,1
paling rusak,C1,1
bukti nyata capres dari partai pk ferdinand pilpres yang lalu kalah telak karena jokowi ada ada pihak lawan. legowo saja bos,C1,1
selalu begitu.pintar merangkai kata kata 😀🙈,C4,4
dpr dari artis makax resikox negara jadi hancur begini karena kepedulian terhadap masyarakat tidak ada ini to.,C1,1
kalau tentara tidak di libatkan uang di berikan ke kades bisa habis dan keamanan pembangunan juga bisa hilang semua alat2 / besi nya,C0,0
dpr bubarin saja tidak guna,C1,1
"jadi semakin menambah keimanan dan haqqul yaqin kalau akhirat itu dipastikan ada. suatu hari kita akan tiba dihari perhitungan dan pembalasan dimana setiap perbuatan kita selama didunia, sekecil apapun akan dimintai pertanggung jawaban. logikanya, dunia dengan segala ketidakadilan dan kedzolimannya memfitnah orang yang tidak bersalah dan meloloskan orang yang jelas jelas bersalah. definisi pengadilan bobrok ya cuma ada didunia yang saat ini kita tinggali. negara kita, indonesia. bersenang senanglah kalian didunia manusia manusia dzolim menjijikkan..",C1,1
capai juga ya jadi orang yang justru ingin mendedikasikan untuk negeri malah banyak penjahat dari dalam.,C1,1
saya juga bosan dengarkan suara info bang ferry. kapan kapan kita mabar di dpr yuk.. mendengar komando.. bukan sekedar info. dikarung karungin saja cocoknya koruptor dan penegak hukum korup di negara ini.,C2,2
anies baswedan bisa,C4,4
"di morowali hrga tabung gas melon 35.0 untuk warga lokal, buat pendatang 50.0. kalau pas lagi susah barang bisa sampai 70.0 - 80.0. menyala harganya",C3,3
"kalau anda pintar pasti anda ada di forum tersebut, dan anda tidak ada, berarti anda lebih dongok dari yang anda lihat.",C2,2
lah iya. sebagai seorang pejabat tinggi negara .sekelas wapres nkri . negara yang punya karakter & eksistensi di dunia internasional. tidak pernah bicara .kerjaanya hanya senyam senyum di pasar.bagi - bagi kaos .bagi bagi sembako. duuh.gimana ini,C1,1
"idiologi komunis memang benar sekarangpun masih ada contohnya cina,rusia,tetapi pemberontakan pki dan komunis itu beda,karna komunis adalah idiologi yang di terapkan suatu bangsa dan sedangkan pki itu organisasi yang memberontak dan terlarang di negara kita jadi bukan berarti keturunan pki itu pemberontak,apa mau saya beri contoh yang mudah.",C3,3
penjelasan yang sangat detail.pendengar bisa paham,C0,0
"pernah menonton rjl 5 disitu juga mengungkap seorang anis baswedan juga melakukan ritual ke ratu laut pantai selatan saat pemilu lalu, tetapi kalah juga tuh. mana di ujung tebing, jalannya susah dan serem. pengakuan dari juru kuncinya langsung saat di wawancarai oleh bang fajar saat itu. coba saja di cari podcastnya pasti ada. orang jawa tidak aneh pakai ritual dan saya yakini banyak pejabat bahkan bukan hanya pejabat, pedagang, buruh pabrik, dan lain banyak ya pakai penglaris, pesugihan dan semacamnya.",C1,1
"sangat betull!!, untuk 2029 jangan pilih partainya si paman gembull, program receh tanpa kajian2,, tinggal tunggu apbn tekor tidak ada duit nya",C2,2
kw pki,C4,4
"setuju lurr. memang bangsandi dan pasangan nya sangat kompak romantis seperti pengantin muda. saling menutupi. kalau yang sebelah sikakek banyak ngowoh nya, banyak diam persis boneka pajangan di toko baju",C2,2
saya yakin setelah di resmikan kdmp akan kukut.knp?karena program ini syarat dengan kontradiksi dengan program-program desa yang telah berjalan cukup lama😢,C0,0
"kpk atau komisi pemberantasan korupsi yang di awal""pembentukanya srmpat jadi tumpuan publik karena gebrakanya""cukup bertaji kini telah berganti nama jadi komisioner pemeras koruptor yang mulai meredup dan tak lagi di percaya publik karena rekam.jejak ketuanya pun sangat di ragukan dan tak lagi konsentrasi pada isu""pembetantasan korupsi tetapi malah sebaliknya.",C2,2
gibran menguasai masa depan ekonomi? dasarnya apa ? pengalaman disuntik 77m cuma buat es teler tetapi baru 2 tahun tidak berbekas? pls lah.,C0,0
"karena dulu dia juga kan di tni anak emas karena mantu presiden, jadi enggak heran enggak mengerti aturan tni",C4,4
grace natalie kamu sedang membuka jalan untuk orde baru bangkit lagi,C2,2
apa bedanya dengan pks hanya jadi partai pembenci jokowi.,C2,2
apa nya yang masih aman pak prabowo? 😅,C0,0
"kalau oak owo action nya selaku seorang pemimpin, lebih dominan, punya cakar, kurasa tidak perlu ada setiran orang lain, dan juga kalau punya pemikiran waras.. tidak akan keluar kata² aneh dari mulutnya.. itu pendapat saya sih, jadi kalau presidennya lurus, tegas, berita² kritik sesuai kerja nya (co, seperti pak purbaya, bu susi, pak jonan). namanya jurnalis, pasti menempel ke pejabat publik. apalagi pak owo adalah ri1 bukan pribadi lagi, seorang pejabat publik, yang setiap langkah, setiap nafas, menentukan jalan negeri ini. maaf kalau tidak sesuai, tapi ini pendapat sya.",C1,1
-qd5gz dia pki,C4,4
najis roy suryo,C4,4
mbg jatah polri dan koperasi jatah koperasi.,C0,0
"salut buat psi, maju terus sembari menata partai sampai menjadi tempat rakyat berjuang bersama, mewujudkan indonesia maju, damai tentram dan sejahtera",C0,0
hebat analisa okky madasari.namun tolong bagaimana jalan keluar untuk mengatasi pengaruh jelek dari wapres ini.,C0,0
menangis sekali ketika ahok mengungkapkan pembelaannya pada bu mega dan pdip,C4,4
"​ -r2e pertama, kasus tom lembong dan hasto jelas beda. tom lembong kena kasus karena membuat kebijakan tidak sesuai peraturan, namun tidak menimbulkan kerugian negara dan tidak terbukti mendapat keuntungan dari kebijakannya. hasto jelas terbukti bersalah, ada bukti""nya, ditambah apa yang dilakukannya jelas menunjukkan ada niat buruk. nadiem, mirip tom lembong, sampai saat ini tidak terbukti merugikan negara, dan tidak ada niat merugikan negara dan juga tidak mendapatkan keuntungan dari kebijakannya. tom lembong kontra jokowi, mungkin. hasto kontra jokowi, jelas, orang dia sekjen pdip. nadiem kontra jokowi, tentu tidak, orang jadi mentrinya jokowi full 5 th.",C1,1
bin jadi alat termul untuk mematai matai orang orang berlawanan politik dan mengkritik rezim.,C2,2
"itu nenek bilang kalau bukan anak buahy pergi,jngn ngerusak dari dalam 😀",C4,4
mengurus jakarta yang kecil saja kamu tidak bisa nis..gimana mau urus nkri.. aneh-aneh saja kamu nis ..ngawur ..ketinggian mimpi nya,C2,2
​ penipu,C3,3
​ kamu tentara pasti,C0,0
​ mau ada soros kek. mau tidak kek. kalian terima uang jasa buzzer dari pemerintah konoha kan? 😂,C1,1
"​ kamu nya saja yang kurang pintar, gampang dimanipulasi kepentingan org.",C2,2
undang wapers kayaknya lebih seru pak gita,C4,4
"""indonesia surganya koruptor"" sepertinya mustahil kak ferry, korupsi bisa hilang di indonesia raya ini, hanya kiamat yang bisa menghapusnya",C2,2
kdm fokus saja di jabar. kan belum beres juga.beresin dulu kerajaan pajajaran sebelum mengurus orang lain,C4,4
-l3f kamu juga makan duut haram dari buzzer 100m,C2,2
kamu ada panggil kadrun saja ya,C2,2
"baru tahu sipat bapak presiden kita ternyata watak nya keras egois,bkn mendengarkan suara rakyat malah mempertahankan egonya,parah parah,katanya dari rakyat untuk rakyat,omon omon doang,g jokowi tidak prabowo pada bae,hadeuh🤦🏼🤦🏼🤦🏼🤦🏼",C2,2
sudah waktunya umat islam harus bersatu tidak usah memandang kelompok ini kelompok itu bersatu kita teguh bercerai kita runtuh gas pol jangan kasih kendor sikat sampai ke akar akar nya maju tak gentar membela yang benar maju serentak geruduk dan seret pembohong dan perusak negara ini merdeka,C1,1
"celios khususnya bhima ini, alih2 dianggap antek asing..justru dialah aset negara, daripada pihak lain yang menuduh pihak lain antek asil padahal jangan-jangan liabilities untuk bangsa",C3,3
"​ yang bangga cuma prabowo dan teman-teman tololnya ya, rakyat sudah ingatkan!!",C2,2
yang bersangkutan menyelesaikan dari mana soal ijazah belum diperlihatkan. ugm pendidikan tipu² jangan ada yang mau kuliah di rektor ugm sudah membodohi anak bangsa yang sedang jalani cita² dinegri kita ini.kasihan para orang tua yang sedang menguliahkan anak² nya direndahkan. yang tidak punya ijazah bisa jadi bejabat. dan koruptor.!,C3,3
"kalau demo tidak anarkis saya ikut, tetapi kalau merusak, maaf, itu bukan solusi apa lagi merusak fasilitas umum, yang rugi kita sendiri,",C0,0
"saya senang mendengar penjelasan grace natalie. semoga pilihan psi ganjar pranoowo. masak orang pintar macam natalie tidak tahu rekam jejak prabowo. kalau psi merasa terpukul dengan sikap pdip sebetulnya itu bukan sikap pdip lebih disebabkan sebagian kecil kadernya yang tidak elegant. prabowo tahu perassan psi, justru itu dia coba mencari ke beruntungan doang. bukankah pdip terang terang an mengatakan prabowo melakukan politik ""pecah belah?"". jokowi. ilik rakyat keseluruhannya, makanya tidak boleh terus terang menyatskan pilihan ke ganjar pranoowo, persoalannya, sebagian relawan ""salah baca"" mengira jokowi dukung prabowo. tetapi relawan yang membaca rekam jejak prabowo tidak akan salah membaca rekam jejak prabowo. kita juga mengaprisiasi kunjungan psi kepada pdip via mbak puan maharani. perassan kami adalah perassan bangsa indonesia yang mencintai psi dan pdip, mengharapkan figur yang tepat untuk mengambil alih tongkat estafet jokowi, sebagaimana harapan grace juga yang sering kami dengar dari mulut anda, grace natalie ❤",C1,1
kamu saja yang contoh mengapai suruh orang.bagus samamu sama orang belum tentu,C1,1
"presiden prabowo tak mau dengar keluhan dan suara rakyat.biar saja pak prabowo ,nganggab suara rakyat tak berharga.yg di pikir hanya jokowi ,pupu papa,dan pejabat titipan jokowi ..ingat nanti kita rakyat balaskan 2029.sudah ingat ini..lihat pak prabowo mengulangi kesalahan ms lalu pak soeharto jatuh,karena tidak mendengar jeritan rakyat ,yg didengar hanya bisik,suara pejabat2 pembohong2.sayang jadinya paksoegato itu bagus jadi presiden ,hancur oleh orang-orang pembohong dan penipu2",C3,3
harry siagian lah saya kan ngomentari egga figur..situ yang nyamber.yang saya tahu juga baik divideo maupun yang sedang booming saat ino semua beragama..cuma salahnya kita minoritas aja.semua masalah iman saja..saya tanya anda..anda percaya nabi isa ada tidak?nah yang jadi masalah kan kita kaum nasrani mengganggap nabi isa itu tuhan..sedangkan anda tidak..sebenernya kan masalahnya itu..tp anda juga percaya nabi isa itu ada.jadi intinya semua juga punya agama..tp tidak baik juga merasa paling benar dan merasa palinh sempurna.karena benar dan sempurna itu punya tuhan.dan tidak perlu menghakimi..karena hakim terakhir itu tuhan..sorry ya pak bos kalau salah,C0,0
"dpr periode ini bagus sudah banyak kemajuan yaitu cepat suarakan aspirasi masyarakat, tinggal revisi uu anti korupsi biar hukum berat para koruptor",C3,3
memang dari dulu indonesia kalau ada orang yang jujur disingkirkan difitnah makanya tidak maju dan isimya parakoruptor,C1,1
"bisa jadi orang yang ada di dalam kementrian tersebut yang selama ini jadi ""benalu."" yang sudah mengakar disana..siapa tahu kan?",C4,4
2 buzzer di atas dibayar per komen.semakin banyak komen makin banyak cuan😂,C2,2
harus nya guru honorer gaji itu 25 juta,C4,4
mungkin lagi sakit' ggi atau lagi mules,C4,4
